workstream,item,owner,priority,status,start_date,target_date,dependency,success_criteria
Branding,Finalize company name,Founder,High,Not Started,,,Domain and legal screening complete,Name + domain + legal available
Legal/Structure,Confirm service boundary policy,Legal Counsel,High,Not Started,,,Policy approved by counsel,Published boundary policy
Partners,Select 2 accounting pilot partners,Partner Manager,High,Not Started,,,Scorecards complete and signed,Two signed pilot agreements
Partners,Select 2 legal pilot partners,Partner Manager,High,Not Started,,,Scorecards complete and signed,Two signed pilot agreements
Product,Set up CRM/helpdesk/billing stack,Ops Lead,High,Not Started,,,Tools provisioned and tested,End-to-end flow works
Automation,Deploy onboarding automation v1,Automation Lead,High,Not Started,,,Intake form and task routing live,Onboarding lead time <14 days
Compliance,Implement MFA and access controls,Security Owner,High,Not Started,,,All users enrolled,100% MFA coverage
Finance,Finalize 24-month base model,Finance Lead,High,Not Started,,,Assumptions approved,Board-ready model pack
GTM,Launch founding member offer,Founder,High,Not Started,,,Landing page + script ready,First 10 paid members
Operations,Publish SOP v1 pack,Ops Lead,Medium,Not Started,,,Templates finalized,Team using SOPs weekly
Reporting,Activate monthly KPI dashboard,Data Owner,Medium,Not Started,,,Data dictionary mapped,Monthly MOR published
