category,parameter,v1_value,unit,rationale,change_control
Revenue,ARPM,300,CAD_per_member_per_month,Balanced midpoint from prior scenarios,Change only in monthly model review
Retention,Monthly_logo_churn_target,2.5,percent,Aligned with base case and early-stage achievable target,Escalate if >3.5% for 2 consecutive months
Margin,Gross_margin_Y1,48,percent,Base-case launch posture,Change only after 2 closed quarters of actuals
Margin,Gross_margin_Y2,52,percent,Expected leverage from automation and SOP maturity,Adjust if partner COGS mix shifts materially
Growth,New_members_M1_to_M6,18,count_per_month,More realistic than aggressive high case while ambitious vs low case,Update quarterly
Growth,New_members_M7_to_M12,35,count_per_month,Supports Year-1 target trajectory,Update quarterly
Growth,New_members_M13_to_M24,75,count_per_month,Represents scaled channel execution,Update quarterly
Operations,Payroll_M1_to_M6,45000,CAD_per_month,Lean core team baseline,Increase only via hiring trigger table
Operations,Payroll_M7_to_M12,60000,CAD_per_month,Adds support/ops capacity,Increase only via hiring trigger table
Operations,Payroll_M13_to_M18,75000,CAD_per_month,Adds scale functions,Increase only via hiring trigger table
Operations,Payroll_M19_to_M24,90000,CAD_per_month,Mature ops staffing baseline,Increase only via board-approved plan
Tools,Software_Y1,4000,CAD_per_month,Lean stack operating cost,Adjust when seat/API usage reaches thresholds
Tools,Software_Y2,5500,CAD_per_month,Scaled usage expectation,Review quarterly
Overhead,Admin_Y1,6000,CAD_per_month,Conservative baseline,Review semi-annually
Overhead,Admin_Y2,7500,CAD_per_month,Inflation and footprint growth,Review semi-annually
GTM,Marketing_M1_to_M6,12000,CAD_per_month,Controlled testing budget,Pause increases if CAC payback >4.5 months
GTM,Marketing_M7_to_M12,15000,CAD_per_month,Channel expansion budget,Pause increases if CAC payback >4.5 months
GTM,Marketing_M13_to_M24,20000,CAD_per_month,Scale budget tied to proven channels,Board review before increase
Liquidity,Opening_cash,1200000,CAD,Current planning baseline,Update when financing closes
Debt,Debt_service_assumed,0,CAD_per_month,No debt in v1 model baseline,Revise only if debt facility executed
Governance,CAC_payback_target,4,months,Core unit economics guardrail,Trigger corrective plan if exceeded 2 months
Governance,Runway_minimum,6,months,Minimum safety threshold,Trigger hiring/spend freeze below threshold
Governance,Gross_margin_floor,47,percent,Risk boundary from scenario analysis,Trigger COGS remediation below floor
Governance,Churn_redline,4,percent,Risk threshold from operating plan,Trigger retention sprint above redline
